1554,251733,10
1554,81555,10
1554,195334,10
1554,63991,10
1585,195334,10
1475,251733,1
1475,2656,10
1475,2213,10
1595,435,10
1595,530,10
1595,397667,9
1595,102124,10
1595,2360,10
1595,474,10
1593,324,10
1593,586397,3
1536,586397,9
1536,413447,8
1536,9691,8
1536,437410,10
2172,5167,7
2172,530,8
2179,4886,8
2179,251733,8
2179,586397,9
1946,2213,5
1946,447301,8
2234,279102,9
2234,427198,10
1479,586397,6
1536,3498,10
1536,312,10
2179,435,9
2179,81555,9
2179,9691,10
2179,397667,10
1946,326,7
2234,81555,10
2234,278273,8
2234,5502,10
2234,397667,10
2125,437410,8
2179,324,10
2227,586397,8
2234,420923,9
2234,63991,6
2234,2656,7
2234,111543,10
1946,312,10
2179,2656,9
2179,526,10
2179,42664,10
2179,301,10
2179,444,9
2234,2213,10
2234,377,10
2234,301,9
2234,4374,5
2234,81314,10
2234,474,9
2234,342,8
2234,195334,10
2234,42664,9
2234,447301,10
2234,448,10
2234,326,10
2234,251733,10
2234,328,10
2227,437410,10
2227,427198,7
2125,427198,10
1946,328,10
1946,476,9
1946,435,10
2179,377,10
2179,326,10
2179,448,10
2179,5167,10
1593,63991,4
2125,9691,10
1946,397667,7
1946,81314,10
1946,42782,2
1497,81314,7
2227,3797,10
2524,530,10
2524,342,10
2524,420923,10
2524,377,10
2524,102124,10
2524,63991,10
1593,2656,8
1593,5167,7
1593,328,4
1593,397667,6
1593,4374,4
1593,81314,6
2125,476,10
2125,77443,8
2125,312,9
2125,328,9
2125,42782,10
2125,301,7
2125,46225,10
2125,279102,10
2125,2656,10
2125,4374,10
1536,377,10
1536,342,7
1946,5167,10
2524,526,10
2524,427198,10
2524,81555,10
1593,42782,9
1593,32898,9
1593,448,10
2007,586397,8
2125,342,10
2125,377,10
1536,42782,9
1536,476,8
2524,5502,10
2524,5167,10
2524,312,10
2524,328,10
2524,2213,10
2524,4541,10
1946,4541,8
2227,312,10
2524,81314,10
2524,279102,10
2524,474,10
2524,476,10
2524,42664,10
2524,326,10
2524,448,10
2524,413447,10
2286,437410,8
2763,9691,9
2976,397667,7
2976,279102,10
2976,4541,8
2976,2213,10
2976,46225,10
2976,586397,9
1946,46225,3
1946,2656,9
1946,389,10
2763,4886,10
1536,102124,9
1536,63991,9
1536,279102,8
1536,361,4
1536,389,8
1536,413362,9
1536,474,9
1536,444,9
2227,251733,5
2057,586397,10
2976,324,9
2976,476,8
2976,42782,10
2976,32898,9
2976,447301,8
2976,389,8
2976,377,10
2976,342,9
2763,4541,9
2763,279102,9
2763,42782,9
1536,195334,9
1536,4886,8
1536,5167,10
1536,2360,10
2227,447301,10
2057,413447,6
2763,397667,10
2763,42664,10
2763,312,10
2763,251733,9
2763,420923,9
2763,5502,10
2763,301,8
2763,2656,10
3088,81555,4
3088,32898,3
2682,437410,9
2763,389,10
2763,435,10
3175,389,8
3088,530,8
3088,397667,10
3088,526,10
3323,81555,10
1479,111543,6
2682,535341,9
2057,437410,9
3088,476,10
3349,530,9
3349,5167,8
3175,9691,7
3175,251733,8
3468,448,10
3468,328,9
3468,102124,8
3404,81555,6
3468,81314,7
3468,195334,8
2682,2213,9
2682,3797,9
2682,377,8
2682,2656,10
2682,2360,10
3175,63991,7
1479,397667,6
3088,77443,5
3525,3797,9
2227,77443,8
3349,3797,9
3468,42782,8
2803,324,4
2682,278273,8
2682,46225,8
3525,278273,10
3525,377,3
3525,46225,10
3525,476,7
3088,447301,10
3088,413447,6
